SampleID,TubeID,miceID,IP,batch,sex,Sampletype,cage,genotype,genotype_nb,age_harvested,food,Selected
0E+00,#3681,#1051,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3682,#1052,7958e,A,F,Saliva,#2,+/+,0,#30,HFD,
0E+00,#3683,#21,7958e,A,F,Saliva,#2,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3684,#65,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3685,#66,7958e,C,F,Saliva,#5,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3686,#68,7958e,C,F,Saliva,#5,+/+,0,#30,HFD,
0E+00,#3687,#69,7958e,C,F,Saliva,#5,+/+,0,#30,HFD,
0E+00,#3688,#28,7958e,D,F,Saliva,#7,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3689,#60,7958e,D,F,Saliva,#7,+/+,0,#30,HFD,
0E+00,#3690,#1034,7958e,E,M,Saliva,#9,+/+,0,#30,HFD,
0E+00,#3691,#35,7958e,E,M,Saliva,#10,+/+,0,#30,HFD,
0E+00,#3692,#100,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3693,#101,7958e,E,M,Saliva,#10,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3694,#39,7958e,F,M,Saliva,#11,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3695,#82,7958e,F,M,Saliva,#12,+/+,0,#30,HFD,
0E+00,#3696,#182,7958e,F,M,Saliva,#12,+/+,0,#30,HFD,
0E+00,#3697,#84,7958e,F,M,Saliva,#12,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3698,#32,7958e,G,M,Saliva,#13,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3699,#34,7958e,G,M,Saliva,#14,+/+,0,#30,HFD,
0E+00,#3700,#50,7958e,G,M,Saliva,#14,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3701,#51,7958e,G,M,Saliva,#14,+/+,0,#30,HFD,
0E+00,#3702,#62,7958e,H,M,Saliva,#16,Dp(16)1Yey/+,1,#30,HFD,
0E+00,#3703,#16,7958e,H,M,Saliva,#16,+/+,0,#30,HFD,
